bid_id,bid_human_name,linear_miles
125thStreet,125th Street BID,4.065789073
14thStreet,14th Street BID,6.234258606
161stStreet,161st Street BID,5.850600013
165thStreet,165th Street BID,0.087923765
180thStreet,180th Street BID,2.626758356
34thStreet,34th Street BID,10.3629339
47thStreet,47th Street BID,0.809607978
5thAvenue,5th Avenue BID,5.562707466
82ndStreet,82nd Street BID,1.301730291
86thStreetBayRidge,86th Street Bay Ridge BID,2.347082735
AtlanticAvenue,Atlantic Avenue BID,5.312745857
BayRidge5thAvenue,Bay Ridge 5th Avenue BID,14.57521317
BaysideVillage,Bayside Village,3.70739924
BedStuyGateway,Bed-Stuy Gateway BID,7.359509334
Belmont,Belmont BID,12.3477671
BrightonBeach,Brighton Beach BID,6.713956184
BryantPark,Bryant Park BID,1.78413807
Chinatown,Chinatown,15.16775806
ChurchAvenue,Church Avenue BID,4.788055579
ColumbusAmsterdam,Columbus Amsterdam BID,8.657018999
ColumbusAvenue,Columbus Avenue BID,9.714709882
CourtLivingstonSchermerhorn,Court-Livingston-Schermerhorn BID,6.577416822
DowntownAlliance,Downtown Alliance BID,36.38721604
DowntownFlushing,Downtown Flushing,6.440763155
DUMBO,DUMBO,32.09965035
EastBrooklyn,East Brooklyn BID,10.54880022
EastMidManhattan,East Mid-Manhattan BID,12.62860235
FlatbushAvenue,Flatbush Avenue BID,5.482729026
FlatbushNostrandJunction,Flatbush-Nostrand Junction BID,4.568017096
Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership,12.79547284
FordhamRoad,Fordham Road BID,15.73281554
ForestAvenue,Forest Avenue BID,7.621973471
FultonAreaBusinessFABAlliance,Fulton Area Business (FAB) Alliance,8.935292609
FultonMallImprovementAssociation,Fulton Mall Improvement Association,2.456665469
GarmentDistrict,Garment District,10.88191557
GrahamAvenue,Graham Avenue BID,3.099989958
GrandCentralPartnership,Grand Central Partnership,19.05879625
GrandStreet,Grand Street BID,2.039973435
GreaterJFK,Greater JFK,21.679703
HUB3rdAvenue,HUB/3rd Avenue BID,2.357092504
HudsonSquare,Hudson Square,7.968263143
HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen,18.85983379
JamaicaCenter,Jamaica Center BID,7.928568135
JeromeGunHill,Jerome-Gun Hill BID,8.091035129
Kingsbridge,Kingsbridge BID,21.42659242
KingsHighway,Kings Highway BID,7.060181248
LincolnSquare,Lincoln Square BID,7.848390889
LongIslandCity,Long Island City,41.92647532
LowerEastSide,Lower East Side BID,6.077393946
MadisonAvenue,Madison Avenue BID,10.81980288
Meatpacking,Meatpacking BID,7.188240953
MetroTech,MetroTech BID,13.01295384
MontagueStreet,Montague Street BID,1.486030595
MyrtleAvenueBrooklynPartnership,Myrtle Avenue Brooklyn Partnership,12.47448322
MyrtleAvenueDMA,Myrtle Avenue DMA,5.653390872
NewDorp,New Dorp BID,5.017485507
NoHo,NoHo BID,4.251189434
NorthFlatbush,North Flatbush BID,4.080259004
ParkSlope5thAvenue,Park Slope 5th Avenue BID,18.05162967
PitkinAvenue,Pitkin Avenue BID,6.806553395
SoHoBroadway,SoHo Broadway BID,2.878781316
SouthernBoulevard,Southern Boulevard BID,2.831696666
SouthShore,South Shore BID,9.996841296
SteinwayStreet,Steinway Street BID,3.208115066
SunnysideShines,Sunnyside Shines,9.459238637
SunsetPark5thAvenue,Sunset Park 5th Avenue BID,16.56628398
SutphinBoulevard,Sutphin Boulevard BID,7.024788977
TimesSquare,Times Square BID,13.944682
VillageAlliance,Village Alliance BID,9.58714068
WashingtonHeights,Washington Heights BID,3.517608689
WestchesterSquare,Westchester Square,4.397050459
WestShore,West Shore BID,7.081642989
WhitePlainsRoad,White Plains Road BID,1.278599576
Woodhaven,Woodhaven BID,12.29653216
