Borough,District
Manhattan,MN01
Manhattan,MN02
Manhattan,MN03
Manhattan,MN04
Manhattan,MN05
Manhattan,MN06
Manhattan,MN07
Manhattan,MN08
Manhattan,MN09
Manhattan,MN10
Manhattan,MN11
Manhattan,MN12
Bronx,BX01
Bronx,BX02
Bronx,BX03
Bronx,BX04
Bronx,BX05
Bronx,BX06
Bronx,BX07
Bronx,BX08
Bronx,BX09
Bronx,BX10
Bronx,BX11
Bronx,BX12
Brooklyn,BKN01
Brooklyn,BKN02
Brooklyn,BKN03
Brooklyn,BKN04
Brooklyn,BKN05
Brooklyn,BKS06
Brooklyn,BKS07
Brooklyn,BKN08
Brooklyn,BKN09
Brooklyn,BKS10
Brooklyn,BKS11
Brooklyn,BKS12
Brooklyn,BKS13
Brooklyn,BKS14
Brooklyn,BKS15
Brooklyn,BKN16
Brooklyn,BKN17
Brooklyn,BKS18
Queens,QW01
Queens,QW02
Queens,QW03
Queens,QW04
Queens,QW05
Queens,QW06
Queens,QE07
Queens,QE08
Queens,QW09
Queens,QE10
Queens,QE11
Queens,QE12
Queens,QE13
Queens,QE14
Staten Island,SI01
Staten Island,SI02
Staten Island,SI03
