SECTION,LINEAR_MILES
BKN011,29.08803468
BKN012,27.97458702
BKN013,42.98376983
BKN014,28.13781871
BKN015,35.61769304
BKN021,48.65740775
BKN022,14.14798421
BKN023,13.31033179
BKN024,34.25061918
BKN031,25.23970014
BKN032,15.67502515
BKN033,21.20284976
BKN034,19.33884573
BKN035,20.46282387
BKN041,21.35814659
BKN042,23.05728224
BKN043,19.21657829
BKN051,38.83324435
BKN052,34.06451369
BKN053,56.91288709
BKN054,57.29479162
BKN081,17.27942094
BKN082,16.70042406
BKN083,18.85059733
BKN091,21.15954765
BKN092,16.03149019
BKN093,18.19544803
BKN161,35.46182498
BKN162,35.47679327
BKN171,16.77432016
BKN172,13.36108594
BKN173,30.34296661
BKN174,12.52297467
BKN175,33.72961109
BKS061,39.4775309
BKS062,17.33025627
BKS063,17.87006038
BKS064,17.06938803
BKS065,14.40436052
BKS071,25.45331554
BKS072,37.39138966
BKS073,16.36778312
BKS074,19.32061702
BKS101,29.73858266
BKS102,27.40893309
BKS103,44.79130519
BKS104,46.65587291
BKS111,15.04122895
BKS112,18.872406
BKS113,14.91609649
BKS114,23.33869208
BKS115,26.26770407
BKS116,21.01911704
BKS121,16.2132404
BKS122,12.12666231
BKS123,14.78953126
BKS124,19.00596218
BKS125,19.30648161
BKS126,23.09547257
BKS131,30.89384489
BKS132,63.42335479
BKS141,17.11392413
BKS142,22.8574116
BKS143,26.05105922
BKS144,24.73821531
BKS151,26.54461232
BKS152,32.42849579
BKS153,46.80374853
BKS154,50.16488986
BKS155,23.67940715
BKS181,36.28211935
BKS182,30.7458293
BKS183,24.80039755
BKS184,44.10870047
BKS185,27.178988
BKS186,28.76015827
BKS187,47.30860012
BX011,41.7537123
BX012,48.72509503
BX021,77.18765375
BX031,54.88469039
BX041,30.91224647
BX042,22.68429223
BX043,31.39230004
BX051,30.51576275
BX052,15.74421856
BX053,12.72147001
BX061,28.49195015
BX062,38.32070813
BX071,20.84137551
BX072,31.21994192
BX073,17.56390758
BX081,17.39694793
BX082,22.9509128
BX083,62.36470288
BX091,53.0249489
BX092,26.22977819
BX093,25.11076769
BX094,51.68542122
BX101,49.5299633
BX102,76.83084868
BX103,65.21733306
BX111,34.1614364
BX112,46.94876892
BX113,34.64361021
BX121,25.58992816
BX122,28.4487445
BX123,30.43515615
BX124,25.73260859
BX125,44.93416487
MN011,48.65127396
MN013,20.30429876
MN021,24.28681127
MN022,19.761355
MN023,14.81261011
MN031,31.82764753
MN032,20.6330869
MN033,18.3960421
MN034,17.56914232
MN041,12.61732824
MN042,30.3456806
MN043,24.69933014
MN051,31.52283893
MN052,39.00032456
MN061,24.5669405
MN062,28.10593448
MN063,16.92796744
MN071,22.71798255
MN072,14.88613017
MN073,16.35205426
MN074,14.66115392
MN075,16.51304299
MN081,25.31100993
MN082,14.84190886
MN083,12.28130418
MN084,9.887136431
MN085,17.48704255
MN091,16.50029014
MN092,25.90103753
MN093,17.09731614
MN101,22.80815504
MN103,12.58027394
MN104,23.36084735
MN111,26.99009416
MN112,19.13104294
MN113,37.15266573
MN121,24.76626197
MN122,36.55944173
MN123,22.82070974
MN124,24.65793814
QE071,33.91463299
QE072,34.70894626
QE073,28.98212551
QE074,31.6298625
QE075,50.71091983
QE076,55.08784436
QE077,46.0705849
QE078,56.27727686
QE081,66.59655003
QE082,43.85142237
QE083,66.75575928
QE084,60.03764685
QE101,46.61866318
QE102,38.66829245
QE103,59.52097811
QE104,45.88780118
QE111,38.87028061
QE112,40.33839101
QE113,46.17172964
QE114,74.3934282
QE115,66.47194293
QE116,43.32251861
QE121,37.48386697
QE122,40.30528402
QE123,38.42954539
QE124,39.38524109
QE125,44.41540491
QE126,52.4448949
QE127,54.68614252
QE131,54.7250858
QE132,61.54273736
QE133,43.94182191
QE134,34.10918328
QE135,40.14739405
QE136,37.83366525
QE137,45.06160547
QE138,69.81945439
QE141,33.69585707
QE142,101.0410648
QE143,44.32731341
QW011,25.40365179
QW012,37.29400537
QW013,25.00456848
QW014,12.10086866
QW015,36.42242566
QW016,29.88735398
QW021,47.90370962
QW022,47.51692571
QW023,73.55916508
QW031,61.07931302
QW032,23.18183485
QW033,26.37786013
QW041,35.60332971
QW042,23.10184494
QW043,32.54466584
QW051,45.08906914
QW052,22.4481133
QW053,19.40260203
QW054,62.94206185
QW055,59.67419744
QW061,46.72745665
QW062,80.67673678
QW091,26.28414305
QW092,22.44231254
QW093,27.9811355
QW094,46.75069017
SI011,91.83973714
SI012,77.15220058
SI013,87.87351247
SI014,118.0317756
SI021,78.05448791
SI022,76.40309954
SI023,94.96260687
SI024,142.8765094
SI031,51.63187036
SI032,39.59003537
SI033,46.04520345
SI034,47.43747818
SI035,65.15635204
SI036,88.78005092
SI037,78.59524465
SI038,47.12675625
