_record_id,_project_id,_assigned_to_id,_status,_latitude,_longitude,_created_at,_updated_at,_version,_updated_by_id,_server_created_at,_server_updated_at,_title,currentmonth,currentyear,stop_number,blockface_title,bid_identifier,bid_algorithm_flag,borough,district_no,section_no,blockface,street_1,sidewalk_1,street_2,sidewalk_2,street_3,sidewalk_3,street_4,sidewalk_4,LogTime
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,0,4226000510_42260510_QE12_QE126,4226000510_42260510_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,1,6226003990_62263990_QE12_QE126,6226003990_62263990_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,2,4226002274_42262274_QE12_QE126,4226002274_42262274_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,3,7226007347_72267347_QE12_QE126,7226007347_72267347_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,4,7226006808_72266808_QE12_QE126,7226006808_72266808_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,5,7226004840_72264840_QE12_QE126,7226004840_72264840_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,6,7226006800_72266800_QE12_QE126,7226006800_72266800_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,7,7227008710_72278710_QE12_QE126,7227008710_72278710_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,8,7226008205_72268205_QE12_QE126,7226008205_72268205_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,10,7226003511_72263511_QE12_QE126,7226003511_72263511_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,11,7226006002_72266002_QE12_QE126,7226006002_72266002_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,
